Name,Tags,Type,rank?
https://ieeexplore.ieee.org/abstract/document/9519399?casa_token=HS-Iwt4Jm08AAAAA:4jV7jRAXAtgOXjrYT6Cu766Ru5izIaRTx2eB6BbeZImu_mqIb3oUinjiD3R9XAcbiux5aITTGw,Expectation Maximization-inspired framework,,
https://ieeexplore.ieee.org/abstract/document/8832180,"GENPass, LSTM, PCFG, PCFG+LSTM","Wordlist, generate",
https://www.sciencedirect.com/science/article/pii/S2666281720303723,OSINT,,
https://link.springer.com/chapter/10.1007/978-3-030-30619-9_7,"GPT, Markov-based, PCFG, Transformers, bidirectional masked language model","Wordlist, generate",
https://ieeexplore.ieee.org/abstract/document/9138870,OSINT,,
https://arxiv.org/abs/2112.03359,"GPT, Transformers","Wordlist, generate",
https://ieeexplore.ieee.org/abstract/document/9833616,,,
https://link.springer.com/chapter/10.1007/978-3-031-04826-5_20,suffix tree,"Wordlist, generate",
https://link.springer.com/chapter/10.1007/978-3-030-22479-0_3,PCFG,,
https://ieeexplore.ieee.org/abstract/document/9786736,"Knowledge Graph, OSINT",,
https://link.springer.com/chapter/10.1007/978-3-031-17146-8_16,Mangling,,
https://nceca.in/2021/4An_Implementation_and_Evaluation_of_PDF_Password_Cracking_Using_John_the_Ripper_and_Crunch.pdf,Mangling,,
https://link.springer.com/chapter/10.1007/978-3-031-06365-7_10?error=cookies_not_supported&code=4fe63dea-3533-44f4-910a-9ed658d2ba76,,,
,,,
